,Material Damage,Minor injuries,Major injuries,Fatal
Straight flat,0.38461538461538464,0.432,0.4050632911392405,0.45454545454545453
Straight descend,0.21794871794871795,0.32,0.3037974683544304,0.2727272727272727
Straight ascend,0.11538461538461539,0.08,0.11392405063291139,0.09090909090909091
Curve flat,0.07692307692307693,0.08,0.02531645569620253,0.0
Curve descend,0.14102564102564102,0.056,0.11392405063291139,0.18181818181818182
Curve ascend,0.0641025641025641,0.032,0.0379746835443038,0.0
