,Material Damage,Minor injuries,Major injuries,Fatal
Morning,0.21794871794871795,0.16,0.16455696202531644,0.2727272727272727
Noon,0.34615384615384615,0.28,0.16455696202531644,0.09090909090909091
Afternoon,0.1282051282051282,0.112,0.20253164556962025,0.09090909090909091
Night,0.3076923076923077,0.448,0.46835443037974683,0.5454545454545454
