,Material Damage,Minor injuries,Major injuries,Fatal
Sedan,0.23076923076923078,0.128,0.05063291139240506,0.0
Jeep,0.038461538461538464,0.016,0.012658227848101266,0.0
Pick Up,0.05128205128205128,0.112,0.0759493670886076,0.0
Minibus,0.23076923076923078,0.272,0.16455696202531644,0.18181818181818182
Bus,0.11538461538461539,0.032,0.13924050632911392,0.09090909090909091
Truck,0.3333333333333333,0.44,0.5569620253164557,0.7272727272727273
